char,count,ratio
e,430433144,15.384659144155737
r,238622403,8.528907184513573
t,219237935,7.83606222815307
n,218597327,7.8131654418288745
s,178051238,6.3639560405807165
i,172206809,6.155062860976455
a,169959153,6.074726525554022
l,147258571,5.263356115742
o,140709023,5.029260380009607
d,117774535,4.209529637978901
g,109051899,3.8977627966723163
k,107235501,3.8328406026227655
m,95115035,3.3996275922456447
v,67252066,2.4037417345125847
p,57507287,2.0554411785727593
f,56592042,2.0227282414891024
u,50265642,1.796608322597385
h,45851825,1.6388484683290991
å,42021341,1.5019382616719135
b,41225202,1.473482443812383
j,28673016,1.0248387791320357
ø,21327961,0.7623098146569469
y,20712662,0.7403176295320488
c,9583917,0.3425509823446115
æ,5510500,0.19695779796611151
w,4128255,0.14755321917114414
x,1384485,0.049484641487544126
z,1085036,0.038781653438700256
q,433668,0.015500280251949487
